Pattern, Color, # Bits, Bits, Count, LumenAvg, Lumen0, Lumen1, Lumen2
spread, White, 0b0000000100000001, 2, 3 of 3, 472, 482, 455, 480
spread, White, 0b0000010000100001, 3, 3 of 3, 708, 725, 679, 720
spread, White, 0b0001000100010001, 4, 3 of 3, 947, 970, 906, 965
spread, White, 0b0010010001001001, 5, 3 of 3, 1183, 1213, 1133, 1203
spread, White, 0b0010010100100101, 6, 3 of 3, 1419, 1455, 1359, 1445
spread, White, 0b0101010010100101, 7, 3 of 3, 1655, 1696, 1586, 1685
spread, White, 0b0101010101010101, 8, 3 of 3, 1893, 1940, 1813, 1928
spread, White, 0b0101010111010101, 9, 3 of 3, 2129, 2182, 2036, 2169
spread, White, 0b0101110101011101, 10, 3 of 3, 2365, 2424, 2262, 2409
spread, White, 0b0101110111011101, 11, 3 of 3, 2600, 2667, 2490, 2645
spread, White, 0b1101110111011101, 12, 3 of 3, 2838, 2910, 2715, 2890
spread, White, 0b1101110111111101, 13, 3 of 3, 3073, 3150, 2941, 3130
spread, White, 0b1111110111111101, 14, 3 of 3, 3309, 3391, 3166, 3370
spread, White, 0b1101111111111111, 15, 3 of 3, 3544, 3635, 3390, 3609
spread, White, 0b1111111111111111, 16, 3 of 3, 3780, 3875, 3615, 3852
grouped2, Red, 0b0000000000000000, 0, 3 of 3, 0, 0, 0, 0
grouped2, Red, 0b0000000000000001, 1, 3 of 3, 72, 73, 72, 71
grouped2, Red, 0b0000000100000001, 2, 3 of 3, 148, 150, 143, 151
grouped2, Red, 0b0000000100000011, 3, 3 of 3, 223, 226, 215, 229
grouped2, Red, 0b0000001100000011, 4, 3 of 3, 297, 303, 287, 302
grouped2, Red, 0b0000001100000111, 5, 3 of 3, 373, 379, 359, 381
grouped2, Red, 0b0000011100000111, 6, 3 of 3, 448, 455, 430, 461
grouped2, Red, 0b0000011100001111, 7, 3 of 3, 525, 533, 502, 540
grouped2, Red, 0b0000111100001111, 8, 3 of 3, 597, 606, 573, 614
grouped2, Red, 0b0000111100011111, 9, 3 of 3, 672, 683, 643, 691
grouped2, Red, 0b0001111100011111, 10, 3 of 3, 748, 760, 715, 769
grouped2, Red, 0b0001111100111111, 11, 3 of 3, 821, 835, 786, 842
grouped2, Red, 0b0011111100111111, 12, 3 of 3, 896, 911, 857, 920
grouped2, Red, 0b0011111101111111, 13, 3 of 3, 972, 987, 929, 1000
grouped2, Red, 0b0111111101111111, 14, 3 of 3, 1046, 1061, 1000, 1078
grouped2, Red, 0b0111111111111111, 15, 3 of 3, 1119, 1138, 1070, 1150
grouped2, Red, 0b1111111111111111, 16, 3 of 3, 1193, 1213, 1141, 1227
grouped2, Green, 0b0000000000000000, 0, 3 of 3, 0, 0, 0, 0
grouped2, Green, 0b0000000000000001, 1, 3 of 3, 126, 130, 122, 127
grouped2, Green, 0b0000000100000001, 2, 3 of 3, 253, 261, 245, 255
grouped2, Green, 0b0000000100000011, 3, 3 of 3, 382, 394, 368, 384
grouped2, Green, 0b0000001100000011, 4, 3 of 3, 508, 526, 490, 510
grouped2, Green, 0b0000001100000111, 5, 3 of 3, 640, 660, 615, 646
grouped2, Green, 0b0000011100000111, 6, 3 of 3, 767, 791, 737, 775
grouped2, Green, 0b0000011100001111, 7, 3 of 3, 894, 924, 858, 901
grouped2, Green, 0b0000111100001111, 8, 3 of 3, 1022, 1056, 981, 1029
grouped2, Green, 0b0000111100011111, 9, 3 of 3, 1151, 1190, 1105, 1160
grouped2, Green, 0b0001111100011111, 10, 3 of 3, 1279, 1322, 1226, 1290
grouped2, Green, 0b0001111100111111, 11, 3 of 3, 1408, 1453, 1350, 1422
grouped2, Green, 0b0011111100111111, 12, 3 of 3, 1535, 1585, 1474, 1548
grouped2, Green, 0b0011111101111111, 13, 3 of 3, 1663, 1719, 1595, 1677
grouped2, Green, 0b0111111101111111, 14, 3 of 3, 1794, 1851, 1718, 1813
grouped2, Green, 0b0111111111111111, 15, 3 of 3, 1921, 1984, 1840, 1939
grouped2, Green, 0b1111111111111111, 16, 3 of 3, 2048, 2115, 1963, 2067
grouped2, Blue, 0b0000000000000000, 0, 3 of 3, 0, 0, 0, 0
grouped2, Blue, 0b0000000000000001, 1, 3 of 3, 30, 30, 31, 31
grouped2, Blue, 0b0000000100000001, 2, 3 of 3, 64, 65, 64, 64
grouped2, Blue, 0b0000000100000011, 3, 3 of 3, 99, 98, 95, 106
grouped2, Blue, 0b0000001100000011, 4, 3 of 3, 131, 133, 127, 135
grouped2, Blue, 0b0000001100000111, 5, 3 of 3, 164, 166, 160, 168
grouped2, Blue, 0b0000011100000111, 6, 3 of 3, 197, 200, 192, 201
grouped2, Blue, 0b0000011100001111, 7, 3 of 3, 232, 235, 222, 239
grouped2, Blue, 0b0000111100001111, 8, 3 of 3, 265, 269, 255, 271
grouped2, Blue, 0b0000111100011111, 9, 3 of 3, 297, 302, 287, 304
grouped2, Blue, 0b0001111100011111, 10, 3 of 3, 333, 337, 320, 343
grouped2, Blue, 0b0001111100111111, 11, 3 of 3, 365, 371, 351, 375
grouped2, Blue, 0b0011111100111111, 12, 3 of 3, 398, 405, 383, 408
grouped2, Blue, 0b0011111101111111, 13, 3 of 3, 433, 440, 415, 446
grouped2, Blue, 0b0111111101111111, 14, 3 of 3, 466, 474, 446, 479
grouped2, Blue, 0b0111111111111111, 15, 3 of 3, 499, 507, 479, 512
grouped2, Blue, 0b1111111111111111, 16, 3 of 3, 534, 542, 511, 550
grouped2, White, 0b0000000000000000, 0, 3 of 3, 0, 0, 0, 0
grouped2, White, 0b0000000000000001, 1, 3 of 3, 234, 240, 225, 239
grouped2, White, 0b0000000100000001, 2, 3 of 3, 471, 482, 452, 480
grouped2, White, 0b0000000100000011, 3, 3 of 3, 706, 724, 678, 717
grouped2, White, 0b0000001100000011, 4, 3 of 3, 945, 970, 905, 960
